id;nbre_cas;nbre_cas_positif;nbre_cas_negatif;nbre_deces;nbre_gueris;date
1;80799;18881;97884;85165;93159;2021-02-07
2;66331;43813;83274;11500;18779;2021-02-08
3;19672;43416;28821;76316;98099;2021-02-08
4;77983;29972;12881;87247;28565;2021-02-08
5;85794;49230;69067;28610;43238;2021-02-08
6;67495;20647;87741;40501;69909;2021-02-08
7;42591;86805;69154;28524;69001;2021-02-08
8;64652;67096;54702;4080;17334;2021-02-08
9;27668;48988;52591;42235;73917;2021-02-08
10;26286;63717;95241;76765;27161;2021-02-08
